T	O_DATA	RESET	CLK	COMMAND	INDEX	I_DATA
                   0	xxxx	1	0	00	000	xxxx
                   1	xxxx	1	1	00	000	xxxx
                   2	xxxx	0	0	00	000	xxxx
                   3	xxxx	0	1	00	000	xxxx
                   4	0001	0	0	01	000	0001
                   5	0001	0	1	01	000	0001
                   6	0010	0	0	01	000	0010
                   7	0010	0	1	01	000	0010
                   8	0011	0	0	01	000	0011
                   9	0011	0	1	01	000	0011
                  10	0100	0	0	01	000	0100
                  11	0100	0	1	01	000	0100
                  12	0101	0	0	01	000	0101
                  13	0101	0	1	01	000	0101
                  14	0101	0	0	00	000	0101
                  15	0101	0	1	00	000	0101
                  16	zzzz	0	0	00	000	zzzz
                  17	zzzz	0	1	00	000	zzzz
                  18	zzzz	0	0	11	000	zzzz
                  19	0101	0	1	11	000	zzzz
                  20	zzzz	0	0	11	001	zzzz
                  21	0100	0	1	11	001	zzzz
                  22	zzzz	0	0	11	010	zzzz
                  23	0011	0	1	11	010	zzzz
                  24	zzzz	0	0	11	011	zzzz
                  25	0010	0	1	11	011	zzzz
                  26	zzzz	0	0	11	100	zzzz
                  27	0001	0	1	11	100	zzzz
                  28	zzzz	0	0	00	100	zzzz
                  29	zzzz	0	1	00	100	zzzz
                  30	zzzz	0	0	10	100	zzzz
                  31	0101	0	1	10	100	zzzz
                  32	zzzz	0	0	11	000	zzzz
                  33	0100	0	1	11	000	zzzz
                  34	zzzz	0	0	10	000	zzzz
                  35	0100	0	1	10	000	zzzz
                  36	zzzz	0	0	11	001	zzzz
                  37	0010	0	1	11	001	zzzz
                  38	zzzz	0	0	10	001	zzzz
                  39	0011	0	1	10	001	zzzz
                  40	zzzz	0	0	11	010	zzzz
                  41	0101	0	1	11	010	zzzz
                  42	zzzz	0	0	10	010	zzzz
                  43	0010	0	1	10	010	zzzz
                  44	zzzz	0	0	11	011	zzzz
                  45	0011	0	1	11	011	zzzz
                  46	zzzz	0	0	10	011	zzzz
                  47	0001	0	1	10	011	zzzz
                  48	zzzz	0	0	11	100	zzzz
                  49	0001	0	1	11	100	zzzz
                  50	zzzz	1	0	00	100	zzzz
                  51	zzzz	1	1	00	100	zzzz
                  52	zzzz	0	0	00	100	zzzz
                  53	zzzz	0	1	00	100	zzzz
                  54	zzzz	0	0	00	100	zzzz
                  55	zzzz	0	1	00	100	zzzz
                  56	zzzz	0	0	10	100	zzzz
                  57	0000	0	1	10	100	zzzz
                  58	zzzz	0	0	10	100	zzzz
                  59	0000	0	1	10	100	zzzz
                  60	zzzz	0	0	10	100	zzzz
                  61	0000	0	1	10	100	zzzz
                  62	zzzz	0	0	10	100	zzzz
                  63	0000	0	1	10	100	zzzz
